tconst	averageRating	numVotes
tt0000359	7.1	2333
tt0000361	8.1	10
tt0000363	6.3	110
tt0000364	5.4	117
tt0000368	6.5	8
tt0000370	5.5	338
tt0000373	6.3	50
tt0000376	6.9	7
tt0000377	6.4	88
tt0000379	5.2	6
tt0000380	7.2	13
tt0000381	4.1	9
tt0000384	5.8	176
tt0000387	5.1	264
tt0000388	5.1	93
tt0000399	6.1	617
tt0000400	7.0	9
tt0000406	6.1	17
tt0000407	3.7	25
tt0000409	5.1	153
tt0000410	6.7	840
tt0000412	4.1	7
tt0000413	5.5	322
tt0000414	5.3	623
tt0000416	5.3	104
tt0000417	8.2	41132
tt0000420	6.3	2230
tt0000423	5.5	174
tt0000425	5.2	10
tt0000426	4.8	6
tt0000430	5.9	584
tt0000432	5.6	158
tt0000436	6.2	434
tt0000437	5.1	177
tt0000439	7.3	16100
tt0000440	5.4	170
tt0000441	7.0	5
tt0000442	4.7	53
tt0000443	5.2	5
tt0000446	5.3	7
tt0000447	6.4	1963
tt0000451	6.6	697
tt0000452	4.7	82
tt0000455	6.8	1616
tt0000456	4.1	35
tt0000459	4.6	50
tt0000464	4.8	328
tt0000465	7.3	1072
tt0000469	5.8	853
tt0000471	5.1	386
tt0000472	6.6	12
tt0000479	5.4	324
tt0000480	5.0	151
tt0000487	7.1	386
tt0000488	6.9	652
tt0000491	3.9	38
tt0000492	5.0	78
tt0000495	6.0	79
tt0000496	6.3	36
tt0000497	5.1	46
tt0000498	6.7	975
tt0000499	7.6	2946
tt0000501	4.6	24
tt0000502	4.4	5
tt0000505	8.1	11
tt0000506	5.8	5
tt0000507	3.8	26
tt0000509	6.2	18
tt0000511	6.7	24
tt0000512	4.5	36
tt0000515	4.8	65
tt0000516	6.5	803
tt0000519	5.7	287
tt0000520	6.5	29
tt0000521	5.4	234
tt0000524	5.7	633
tt0000525	5.6	31
tt0000526	4.3	38
tt0000528	6.1	8
tt0000533	7.2	18
tt0000534	6.6	898
tt0000535	5.1	40
tt0000537	4.2	54
tt0000543	5.2	12
tt0000546	6.7	1615
tt0000548	6.2	5
tt0000550	4.4	8
tt0000552	5.9	34
tt0000553	6.5	278
tt0000554	6.2	1043
tt0000555	5.4	10
tt0000557	4.6	88
tt0000561	5.4	25
tt0000565	6.3	420
tt0000567	6.7	858
tt0000570	4.1	32
tt0000571	6.9	50
tt0000574	6.1	561
tt0000575	5.9	383
tt0000576	6.0	186
tt0000578	7.1	10
tt0000581	6.0	5
tt0000582	5.1	563
tt0000583	5.5	21
tt0000584	5.1	50
tt0000586	7.0	5
tt0000591	6.0	5
tt0000597	4.9	48
tt0000598	5.5	24
tt0000599	4.7	7
tt0000601	5.8	5
tt0000602	4.7	155
tt0000609	4.5	11
tt0000610	5.4	10
tt0000613	4.3	7
tt0000614	6.5	830
tt0000615	4.5	15
tt0000617	4.5	17
tt0000618	8.0	6
tt0000621	6.4	498
tt0000627	6.1	14
tt0000628	5.7	641
tt0000629	5.5	30
tt0000630	3.4	11
tt0000632	5.2	31
tt0000634	4.4	8
tt0000637	5.5	523
tt0000638	5.4	30
tt0000639	5.2	40
tt0000640	4.3	73
tt0000641	5.2	99
tt0000642	5.6	23
tt0000644	5.4	18
tt0000645	5.4	95
tt0000648	4.7	98
tt0000650	7.6	5
